date,code,tv_rank,vol_rank,ret,drop_pct,close,high,gap_pct,hold_close_pct,is_52w_high,name
2026-03-26,108860,11,11,23.7989652623799,4.721274175199089,16750,17580,-4.477611940298507,-5.432835820895522,True,셀바스AI
2026-03-26,196170,12,284,6.2761506276150625,4.630788485607009,381000,399500,1.0498687664041995,0.0,False,알테오젠
2026-03-26,347700,21,70,8.559046587215601,8.576642335766424,50100,54800,-2.7944111776447107,1.5968063872255487,True,스피어
2026-03-27,011070,35,451,5.775577557755773,0.6201550387596899,320500,322500,-5.14820592823713,-3.9001560062402496,False,LG이노텍
2026-03-27,047040,3,6,8.553459119496853,1.8760659465605456,17260,17590,-4.055619930475087,0.4634994206257242,False,대우건설
2026-03-27,066970,14,153,7.474048442906578,1.9570707070707072,155300,158400,-0.8370895041854475,0.38634900193174504,True,엘앤에프
2026-03-27,100790,4,14,15.221238938053094,1.5128593040847202,32550,33050,-3.225806451612903,-8.141321044546851,True,미래에셋벤처투자
2026-03-27,263750,8,39,15.748031496062985,1.8363939899833055,58800,59900,8.503401360544217,14.965986394557824,False,펄어비스
2026-03-27,450080,37,149,5.007153075822601,1.476510067114094,73400,74500,-2.861035422343324,-1.7711171662125342,False,에코프로머티
2026-03-30,000250,6,531,6.570657065706564,3.9740470397404706,1184000,1233000,-3.885135135135135,-29.98310810810811,True,삼천당제약
2026-03-30,0088M0,29,73,9.057071960297769,8.342022940563085,43950,47950,-0.6825938566552902,-12.059158134243459,,메쥬
2026-03-30,037030,14,3,18.0952380952381,8.55457227138643,6200,6780,-3.225806451612903,-15.806451612903224,True,파워넷
2026-03-30,038110,26,5,5.263157894736836,9.090909090909092,4300,4730,2.558139534883721,-13.72093023255814,True,에코플라스틱
2026-03-30,053690,45,71,16.858237547892728,6.00924499229584,30500,32450,-3.278688524590164,-11.80327868852459,True,한미글로벌
2026-03-30,263750,9,55,14.965986394557817,2.7338129496402876,67600,69500,-1.6272189349112427,2.0710059171597637,True,펄어비스
2026-03-30,322000,7,95,9.659090909090917,6.763285024154589,135100,144900,1.924500370096225,2.9607698001480385,True,HD현대에너지솔루션
2026-03-30,375500,50,151,5.167173252279644,1.9830028328611897,69200,70600,4.479768786127168,-3.4682080924855487,True,DL이앤씨
2026-03-30,475150,21,69,10.49618320610688,1.530612244897959,57900,58800,4.8359240069084635,-6.217616580310881,False,SK이터닉스
2026-03-31,001780,47,7,23.77622377622377,3.102189781021898,2655,2740,-10.734463276836157,-9.03954802259887,True,알루코
2026-03-31,005880,27,3,5.973451327433632,5.893909626719057,2395,2545,-5.427974947807933,0.8350730688935281,False,대한해운
