date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-20,14:49,진원생명과학,pullback,5.5,-2.2914218566392477,3.291925465838509,3,up,4.449789536981359,-2.285027059530968,6.000084,0.12026458208057728,E1_vp<100,100.002737,2.3451593505712567,target_prevhigh
05-20,10:09,현대모비스,breakout,7.0,0.0,1.1049723756906076,1,up,2.185792349726776,-2.3679417122040074,2.046322,0.0,E3_vol_drain,490.001619,0.18214936247723132,trailing
05-20,10:50,현대모비스,pullback,6.5,-2.4955436720142603,1.86219739292365,4,neither,0.7312614259597806,-0.9140767824497258,102.073754,0.0,E3_vol_drain,1796.00001,-0.18281535648994515,eow
05-20,13:01,현대모비스,pullback,7.0,-4.81283422459893,0.18761726078799248,2,neither,0.0,-1.3108614232209739,89.977214,-0.37453183520599254,E1_vp<100,1799.894023,-0.9363295880149813,eow
05-20,13:21,현대모비스,pullback,6.0,-5.525846702317291,-0.37593984962406013,1,neither,0.37735849056603776,-1.3207547169811322,32.077178,0.18867924528301888,E2_bearish_div,1795.997068,-1.1320754716981132,eow
05-20,14:01,현대모비스,none,5.0,-6.23885918003565,0.9596928982725527,2,neither,0.5703422053231939,-0.9505703422053232,16.010543,0.19011406844106463,E3_vol_drain,1794.009438,0.38022813688212925,eow
05-20,14:23,현대모비스,none,5.0,-6.23885918003565,0.7662835249042145,3,neither,1.1406844106463878,-0.19011406844106463,61.926469,0.0,E3_vol_drain,1797.940838,0.5703422053231939,eow
05-20,14:34,현대모비스,pullback,5.5,-5.525846702317291,0.5692599620493358,4,neither,0.5660377358490566,-0.9433962264150944,37.990178,0.0,E3_vol_drain,1794.058465,0.5660377358490566,eow
05-20,14:52,현대모비스,pullback,6.5,-5.704099821746881,0.3795066413662239,2,neither,1.7013232514177694,-0.1890359168241966,67.999526,0.0,E3_vol_drain,1796.034917,1.7013232514177694,eow
05-20,15:04,현대모비스,pullback,7.0,-4.81283422459893,0.5649717514124294,3,neither,0.7490636704119851,-0.7490636704119851,93.989776,-0.37453183520599254,E3_vol_drain,1798.007199,0.18726591760299627,eow
05-20,15:15,현대모비스,pullback,6.5,-4.45632798573975,0.5628517823639775,3,neither,0.3731343283582089,-0.18656716417910446,1798.001333,-0.18656716417910446,eow,1798.001333,-0.18656716417910446,eow
05-20,10:17,광전자,chase,5.0,-0.34423407917383825,5.850091407678245,4,up,7.512953367875648,-1.9861830742659756,24.049441,0.08635578583765112,E3_vol_drain,42.001675,-1.6407599309153715,trailing
05-20,09:01,한온시스템,breakout,7.0,-0.32537960954446854,,0,down,-0.1088139281828074,-5.223068552774755,256.101408,-2.0,stop_-2%,256.101408,-2.0,stop_-2%
05-20,09:04,메이슨캐피탈,pullback,5.0,-3.5398230088495577,,0,up,5.5045871559633035,-14.678899082568808,47.993416,3.9755351681957185,E2_bearish_div,9.986429,0.0,ma5_break
05-20,12:30,메이슨캐피탈,none,5.5,-8.695652173913043,10.915492957746478,2,down,3.1746031746031744,-9.523809523809524,4.003386,0.9523809523809524,E1_vp<100,20.000321,-0.6349206349206349,trailing
05-20,14:34,메이슨캐피탈,none,5.5,-11.594202898550725,11.72161172161172,5,up,5.245901639344262,-7.213114754098362,4.0381029999999996,0.0,E1_vp<100,242.022097,2.9508196721311477,trailing
05-20,09:01,주성엔지니어링,breakout,6.0,-0.32876712328767127,,0,up,16.547553600879606,-0.054975261132490384,59.993742,-0.054975261132490384,E3_vol_drain,51.999031,0.0,trailing
05-20,09:13,주성엔지니어링,pullback,5.0,-1.9895287958115182,0.6993006993006993,1,up,14.316239316239315,-1.655982905982906,9.997563,0.05341880341880342,E3_vol_drain,532.002656,2.1367521367521367,target_prevhigh
05-20,09:23,주성엔지니어링,chase,6.0,-0.36231884057971014,3.8855909336211547,4,up,11.168831168831169,-1.1428571428571428,25.973366,-0.4675324675324675,E2_bearish_div,372.022764,4.935064935064935,trailing
